"DIA","MES","PERIODO","accidentes"
1,1,2014,72
2,1,2014,72
3,1,2014,90
4,1,2014,67
5,1,2014,63
6,1,2014,41
7,1,2014,97
8,1,2014,72
9,1,2014,86
10,1,2014,97
11,1,2014,93
12,1,2014,65
13,1,2014,106
14,1,2014,92
15,1,2014,115
16,1,2014,104
17,1,2014,111
18,1,2014,102
19,1,2014,61
20,1,2014,117
21,1,2014,103
22,1,2014,114
23,1,2014,101
24,1,2014,108
25,1,2014,93
26,1,2014,70
27,1,2014,138
28,1,2014,128
29,1,2014,93
30,1,2014,95
31,1,2014,142
1,2,2014,116
2,2,2014,62
3,2,2014,130
4,2,2014,108
5,2,2014,111
6,2,2014,134
7,2,2014,136
8,2,2014,91
9,2,2014,77
10,2,2014,151
11,2,2014,117
12,2,2014,129
13,2,2014,159
14,2,2014,111
15,2,2014,103
16,2,2014,71
17,2,2014,120
18,2,2014,118
19,2,2014,108
20,2,2014,120
21,2,2014,103
22,2,2014,111
23,2,2014,77
24,2,2014,123
25,2,2014,128
26,2,2014,95
27,2,2014,137
28,2,2014,133
1,3,2014,129
2,3,2014,72
3,3,2014,138
4,3,2014,127
5,3,2014,150
6,3,2014,127
7,3,2014,134
8,3,2014,113
9,3,2014,78
10,3,2014,119
11,3,2014,125
12,3,2014,142
13,3,2014,116
14,3,2014,136
15,3,2014,138
16,3,2014,84
17,3,2014,145
18,3,2014,132
19,3,2014,121
20,3,2014,143
21,3,2014,136
22,3,2014,107
23,3,2014,96
24,3,2014,92
25,3,2014,134
26,3,2014,117
27,3,2014,111
28,3,2014,149
29,3,2014,126
30,3,2014,93
31,3,2014,117
1,4,2014,126
2,4,2014,114
3,4,2014,143
4,4,2014,136
5,4,2014,141
6,4,2014,72
7,4,2014,131
8,4,2014,140
9,4,2014,129
10,4,2014,128
11,4,2014,138
12,4,2014,133
13,4,2014,88
14,4,2014,107
15,4,2014,133
16,4,2014,118
17,4,2014,59
18,4,2014,49
19,4,2014,51
20,4,2014,65
21,4,2014,112
22,4,2014,89
23,4,2014,130
24,4,2014,127
25,4,2014,124
26,4,2014,113
27,4,2014,78
28,4,2014,130
29,4,2014,106
30,4,2014,125
1,5,2014,83
2,5,2014,139
3,5,2014,120
4,5,2014,74
5,5,2014,118
6,5,2014,107
7,5,2014,131
8,5,2014,116
9,5,2014,109
10,5,2014,119
11,5,2014,93
12,5,2014,114
13,5,2014,125
14,5,2014,122
15,5,2014,110
16,5,2014,123
17,5,2014,127
18,5,2014,78
19,5,2014,155
20,5,2014,106
21,5,2014,136
22,5,2014,129
23,5,2014,124
24,5,2014,119
25,5,2014,90
26,5,2014,126
27,5,2014,112
28,5,2014,119
29,5,2014,110
30,5,2014,147
31,5,2014,114
1,6,2014,76
2,6,2014,68
3,6,2014,163
4,6,2014,124
5,6,2014,131
6,6,2014,141
7,6,2014,140
8,6,2014,81
9,6,2014,125
10,6,2014,111
11,6,2014,131
12,6,2014,106
13,6,2014,119
14,6,2014,135
15,6,2014,88
16,6,2014,114
17,6,2014,106
18,6,2014,121
19,6,2014,120
20,6,2014,113
21,6,2014,112
22,6,2014,91
23,6,2014,57
24,6,2014,119
25,6,2014,147
26,6,2014,110
27,6,2014,115
28,6,2014,107
29,6,2014,79
30,6,2014,69
1,7,2014,123
2,7,2014,120
3,7,2014,138
4,7,2014,121
5,7,2014,117
6,7,2014,75
7,7,2014,156
8,7,2014,112
9,7,2014,117
10,7,2014,113
11,7,2014,93
12,7,2014,95
13,7,2014,64
14,7,2014,133
15,7,2014,135
16,7,2014,120
17,7,2014,105
18,7,2014,117
19,7,2014,117
20,7,2014,78
21,7,2014,127
22,7,2014,123
23,7,2014,128
24,7,2014,115
25,7,2014,124
26,7,2014,127
27,7,2014,61
28,7,2014,139
29,7,2014,104
30,7,2014,117
31,7,2014,118
1,8,2014,130
2,8,2014,124
3,8,2014,83
4,8,2014,135
5,8,2014,138
6,8,2014,161
7,8,2014,71
8,8,2014,153
9,8,2014,107
10,8,2014,86
11,8,2014,108
12,8,2014,108
13,8,2014,121
14,8,2014,134
15,8,2014,145
16,8,2014,112
17,8,2014,67
18,8,2014,54
19,8,2014,112
20,8,2014,115
21,8,2014,107
22,8,2014,110
23,8,2014,130
24,8,2014,72
25,8,2014,118
26,8,2014,127
27,8,2014,91
28,8,2014,132
29,8,2014,124
30,8,2014,116
31,8,2014,82
1,9,2014,113
2,9,2014,81
3,9,2014,120
4,9,2014,113
5,9,2014,134
6,9,2014,101
7,9,2014,68
8,9,2014,124
9,9,2014,110
10,9,2014,125
11,9,2014,151
12,9,2014,132
13,9,2014,102
14,9,2014,83
15,9,2014,120
16,9,2014,129
17,9,2014,137
18,9,2014,146
19,9,2014,127
20,9,2014,115
21,9,2014,94
22,9,2014,114
23,9,2014,123
24,9,2014,102
25,9,2014,113
26,9,2014,128
27,9,2014,110
28,9,2014,70
29,9,2014,124
30,9,2014,143
1,10,2014,111
2,10,2014,106
3,10,2014,118
4,10,2014,126
5,10,2014,101
6,10,2014,109
7,10,2014,105
8,10,2014,94
9,10,2014,116
10,10,2014,105
11,10,2014,112
12,10,2014,56
13,10,2014,63
14,10,2014,139
15,10,2014,112
16,10,2014,104
17,10,2014,120
18,10,2014,102
19,10,2014,82
20,10,2014,94
21,10,2014,111
22,10,2014,142
23,10,2014,119
24,10,2014,113
25,10,2014,123
26,10,2014,80
27,10,2014,104
28,10,2014,109
29,10,2014,134
30,10,2014,128
31,10,2014,123
1,11,2014,107
2,11,2014,65
3,11,2014,61
4,11,2014,109
5,11,2014,125
6,11,2014,112
7,11,2014,130
8,11,2014,105
9,11,2014,70
10,11,2014,121
11,11,2014,114
12,11,2014,116
13,11,2014,99
14,11,2014,128
15,11,2014,133
16,11,2014,75
17,11,2014,76
18,11,2014,106
19,11,2014,119
20,11,2014,109
21,11,2014,133
22,11,2014,111
23,11,2014,74
24,11,2014,113
25,11,2014,133
26,11,2014,114
27,11,2014,133
28,11,2014,129
29,11,2014,115
30,11,2014,78
1,12,2014,124
2,12,2014,112
3,12,2014,135
4,12,2014,105
5,12,2014,142
6,12,2014,120
7,12,2014,92
8,12,2014,72
9,12,2014,131
10,12,2014,105
11,12,2014,119
12,12,2014,128
13,12,2014,97
14,12,2014,91
15,12,2014,105
16,12,2014,132
17,12,2014,125
18,12,2014,133
19,12,2014,120
20,12,2014,108
21,12,2014,96
22,12,2014,132
23,12,2014,130
24,12,2014,104
25,12,2014,75
26,12,2014,107
27,12,2014,86
28,12,2014,62
29,12,2014,118
30,12,2014,112
31,12,2014,77
1,1,2015,64
2,1,2015,68
3,1,2015,70
4,1,2015,52
5,1,2015,74
6,1,2015,94
7,1,2015,81
8,1,2015,78
9,1,2015,95
10,1,2015,84
11,1,2015,60
12,1,2015,52
13,1,2015,154
14,1,2015,100
15,1,2015,92
16,1,2015,105
17,1,2015,104
18,1,2015,62
19,1,2015,94
20,1,2015,130
21,1,2015,120
22,1,2015,133
23,1,2015,100
24,1,2015,99
25,1,2015,74
26,1,2015,101
27,1,2015,116
28,1,2015,91
29,1,2015,118
30,1,2015,90
31,1,2015,103
1,2,2015,71
2,2,2015,126
3,2,2015,135
4,2,2015,95
5,2,2015,130
6,2,2015,139
7,2,2015,101
8,2,2015,90
9,2,2015,139
10,2,2015,136
11,2,2015,101
12,2,2015,123
13,2,2015,133
14,2,2015,102
15,2,2015,85
16,2,2015,123
17,2,2015,125
18,2,2015,112
19,2,2015,130
20,2,2015,133
21,2,2015,105
22,2,2015,65
23,2,2015,111
24,2,2015,119
25,2,2015,118
26,2,2015,119
27,2,2015,118
28,2,2015,112
1,3,2015,95
2,3,2015,117
3,3,2015,124
4,3,2015,127
5,3,2015,121
6,3,2015,122
7,3,2015,112
8,3,2015,89
9,3,2015,116
