"MES","PERIODO","accidentes"
1,2014,2908
2,2014,3179
3,2014,3747
4,2014,3335
5,2014,3595
6,2014,3319
7,2014,3532
8,2014,3473
9,2014,3452
10,2014,3361
11,2014,3213
12,2014,3395
1,2015,2858
2,2015,3196
3,2015,3520
4,2015,3344
5,2015,3586
6,2015,3175
7,2015,3592
8,2015,3638
9,2015,3684
10,2015,3562
11,2015,3285
12,2015,3499
1,2016,2947
2,2016,3446
3,2016,3494
4,2016,3523
5,2016,3486
6,2016,3280
7,2016,3508
8,2016,3793
9,2016,3663
10,2016,3754
11,2016,3475
12,2016,3429
1,2017,3048
2,2017,3385
3,2017,3498
4,2017,3236
5,2017,3612
6,2017,3324
7,2017,3503
8,2017,3757
9,2017,3649
10,2017,3475
11,2017,3310
12,2017,3398
1,2018,2856
2,2018,3147
3,2018,3241
4,2018,3271
5,2018,3414
6,2018,3200
7,2018,3233
8,2018,3481
9,2018,3343
10,2018,3404
11,2018,3178
12,2018,3298
1,2019,2826
2,2019,3029
3,2019,3062
4,2019,3045
5,2019,3360
6,2019,3146
7,2019,3566
8,2019,3938
9,2019,3864
